Training Log:
step 1/6000 loss=3.4125
step 2/6000 loss=3.4424
step 3/6000 loss=3.5045
step 4/6000 loss=3.4744
step 5/6000 loss=3.5070
step 6/6000 loss=3.3921
step 7/6000 loss=3.4484
step 8/6000 loss=3.4895
step 9/6000 loss=3.4007
Run Log:
Timesteps for transformer:2235
Timesteps for FCFS:2235
Timesteps for SJF:2235
Timesteps for RR:2235
Timesteps for SRTF:2235
Timestep 0: Transformer: -0.00084, FCFS: -0.00046, SJF: -0.01, RR: -0.01, SRTF: -0.00046
Timestep 1160: Transformer: -8.344510000000001, FCFS: -7.57952, SJF: -8.47965, RR: -8.79682, SRTF: -7.44211
Timestep 1170: Transformer: -8.41671, FCFS: -7.65954, SJF: -8.55185, RR: -8.87362, SRTF: -7.514309999999999
Timestep 1180: Transformer: -8.488910000000002, FCFS: -7.73634, SJF: -8.62405, RR: -8.950420000000001, SRTF: -7.58651
Timestep 1190: Transformer: -8.561110000000003, FCFS: -7.810379999999999, SJF: -8.696250000000001, RR: -9.02722, SRTF: -7.65871
Timestep 1200: Transformer: -8.633310000000002, FCFS: -7.88258, SJF: -8.76845, RR: -9.10402, SRTF: -7.73091
Timestep 1210: Transformer: -8.705510000000002, FCFS: -7.9547799999999995, SJF: -8.84065, RR: -9.18082, SRTF: -7.803109999999999
Timestep 1220: Transformer: -8.77771, FCFS: -8.02698, SJF: -8.912849999999999, RR: -9.25762, SRTF: -7.87531
Timestep 1230: Transformer: -8.849910000000001, FCFS: -8.09918, SJF: -8.98505, RR: -9.33442, SRTF: -7.947509999999999
Timestep 1240: Transformer: -8.922110000000002, FCFS: -8.171380000000001, SJF: -9.05725, RR: -9.41122, SRTF: -8.01971
Timestep 1250: Transformer: -8.99431, FCFS: -8.24358, SJF: -9.12945, RR: -9.48802, SRTF: -8.09191
Timestep 1260: Transformer: -9.066510000000003, FCFS: -8.31578, SJF: -9.20165, RR: -9.56482, SRTF: -8.16411
Timestep 1270: Transformer: -9.138710000000001, FCFS: -8.38798, SJF: -9.27385, RR: -9.64162, SRTF: -8.23631
